;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
95;2015;Concours Mondial de Bruxelles;21;Jesolo;Italia;8000.0;45.0;1 a 3 de maio;4;Italia;Europa
96;2015;International Wine Challenge;31;Londres;Inglaterra;17000.0;55.0;13 a 24 de abril;16;Inglaterra;Europa
97;2015;Challenge International du Vin;39;Bourg-sur-Gironde;Franca;4220.0;34.0;10 a 11 de abril;8;Franca;Europa
98;2015;Vinitaly;49;Verona;Italia;2600.0;32.0;12 a 16 de abril;8;Italia;Europa
99;2015;CINVE - Concurso Internacional de Vinos y Espirituosos;11;Valladolid;Espanha;700.0;13.0;27 a 29 de março;4;Espanha;Europa
100;2015;Bacchus;13;Madri;Espanha;1600.0;16.0;19 a 21 de Março;4;Espanha;Europa
101;2015;Chardonnay du Monde;22;Borgonha;Franca;826.0;41.0;11 a 14 de março;6;Franca;Europa
102;2015;Thessaloniki International Wine and Spirits Competition;15;Thessaloniki;Grecia;560.0;7.0;24 a 26 de fevereiro;1;Grecia;Europa
103;2015;Vinalies Internationales;21;Paris;Franca;3575.0;40.0;27 de fevereiro a 3 de março;8;Franca;Europa
104;2015;Concurso do Espumante Brasileiro;9;Garibaldi;Brasil;264.0;1.0;5 e 8 de junho;80;Brasil;America do Sul
105;2016;Effervescents du Monde;14;Dijon;Franca;540.0;24.0;16 a 18 de novembro;13;Franca;Europa
106;2016;La Mujer Elige;12;Mendoza;Argentina;457.0;19.0;9 a 11 de novembro;39;Argentina;America do Sul
107;2016;Mondial des Pinots;19;Sierre;Suica;1347.0;24.0;7 a 9 de agosto;1;Suica;Europa
108;2016;VINUS - Concurso Internacional de Vinos y Licores;13;Mendoza;Argentina;445.0;17.0;3 a 6 de agosto;45;Argentina;America do Sul
109;2016;Muscats du Monde;16;Frontignan la Peyrade;Franca;244.0;22.0;29 a 30 de junho;4;Franca;Europa
